"","area","bordering_language_richness","L1_pop","bordering_language_richness_perkm","bordering_language_evenness","roughness","altitude_range","islands11km","small_family","isolate_or_mono","vehicularity","BIC","delta","weights","model_id","Nparam"
"1"," ","X"," "," "," "," "," "," ","X","X"," ",568.465414333291,0,0.692926328012778,145,3
"2"," ","X"," "," ","X"," "," "," ","X","X"," ",573.054953608075,4.58953927478422,0.0698363080640513,413,4
"3"," ","X"," ","X"," "," "," "," ","X","X"," ",573.174472676635,4.70905834334371,0.0657851752689193,398,4
"4"," "," "," "," ","X"," "," "," ","X","X"," ",574.967522023672,6.5021076903812,0.026839370004441,209,3
"5"," ","X"," "," "," "," ","X"," ","X","X"," ",575.552556691227,7.08714235793605,0.0200324309103653,429,4
"6"," ","X"," "," "," "," "," ","X","X","X"," ",575.572997761253,7.10758342796146,0.0198287314806223,432,4
"7"," ","X","X"," "," "," "," "," ","X","X"," ",576.149034418194,7.68362008490294,0.0148665488033899,377,4
"8"," "," "," "," "," "," "," "," ","X","X"," ",576.477943924723,8.0125295914321,0.0126121279791031,64,2
"9"," ","X"," "," "," ","X"," "," ","X","X"," ",576.926883000779,8.46146866748825,0.0100763324381192,423,4
"10"," ","X"," "," "," "," "," "," ","X","X","X",576.941328425511,8.47591409222002,0.010003816184486,435,4
"11","X","X"," "," "," "," "," "," ","X","X"," ",577.155565526389,8.69015119309813,0.00898762012016583,265,4
"12"," "," "," ","X"," "," "," "," ","X","X"," ",578.571736454819,10.1063221215279,0.00442717916538185,194,3
"13"," ","X"," ","X","X"," "," "," ","X","X"," ",578.876160702654,10.4107463693632,0.0038020884203668,840,5
"14"," "," "," ","X","X"," "," "," ","X","X"," ",579.54021180157,11.0747974682794,0.00272788054522487,504,4
"15"," ","X"," "," ","X"," "," ","X","X","X"," ",579.73374237048,11.2683280371887,0.00247628552733526,879,5
"16"," ","X"," "," "," ","X","X"," ","X","X"," ",579.834648813713,11.3692344804219,0.00235444832833896,886,5
"17"," ","X"," ","X"," "," "," ","X","X","X"," ",580.068535916431,11.6031215831401,0.00209460060497896,859,5
"18"," ","X"," "," ","X"," ","X"," ","X","X"," ",580.145875373907,11.6804610406157,0.00201514905314505,876,5
"19"," ","X","X","X"," "," "," "," ","X","X"," ",580.307539318077,11.8421249847861,0.00185867002634295,790,5
"20"," ","X","X"," ","X"," "," "," ","X","X"," ",580.663192927276,12.1977785939846,0.00155586924237627,805,5
"21"," "," "," "," ","X"," ","X"," ","X","X"," ",580.722147474526,12.2567331412347,0.00151067582079035,540,4
"22"," ","X"," ","X"," ","X"," "," ","X","X"," ",580.970413653215,12.5049993199237,0.0013343229702079,850,5
"23"," "," ","X"," ","X"," "," "," ","X","X"," ",581.073061224567,12.6076468912756,0.00126756817132159,469,4
"24"," ","X"," "," ","X","X"," "," ","X","X"," ",581.304859446356,12.8394451130646,0.00112885193351932,870,5
"25"," ","X"," ","X"," "," ","X"," ","X","X"," ",581.320519667483,12.8551053341921,0.00112004741323756,856,5
"26"," ","X"," ","X"," "," "," "," ","X","X","X",581.425705491047,12.960291157756,0.00106266308932966,862,5
"27"," ","X"," "," ","X"," "," "," ","X","X","X",581.485788589637,13.0203742563458,0.00103121380161037,882,5
"28","X","X"," "," ","X"," "," "," ","X","X"," ",581.779380336018,13.3139660027273,0.000890422404893536,623,5
"29"," "," "," "," "," "," ","X"," ","X","X"," ",581.808936972897,13.3435226396061,0.000877360215376087,225,3
"30","X","X"," ","X"," "," "," "," ","X","X"," ",581.932295520844,13.4668811875533,0.00082488037016551,608,5
"31"," ","X"," "," "," "," ","X","X","X","X"," ",582.018331976629,13.5529176433383,0.000790147899162016,893,5
"32"," "," "," "," ","X","X","X"," ","X","X"," ",582.226890733773,13.761476400482,0.000711902357379704,1006,5
"33"," "," ","X"," "," "," "," "," ","X","X"," ",582.326272120617,13.8608577873262,0.000677391959099894,173,3
"34"," "," ","X","X"," "," "," "," ","X","X"," ",582.795264098051,14.3298497647603,0.000535796315983851,454,4
"35"," "," "," "," ","X"," "," "," ","X","X","X",583.089924975712,14.6245106424208,0.000462396913568185,546,4
"36"," ","X","X"," "," "," "," ","X","X","X"," ",583.170683751233,14.7052694179417,0.000444097554111803,824,5
"37"," "," "," "," ","X"," "," ","X","X","X"," ",583.196086857414,14.7306725241232,0.000438492497269184,543,4
"38"," ","X"," "," ","X","X","X"," ","X","X"," ",583.315348498448,14.8499341651569,0.0004131091654505,1384,6
"39"," ","X","X"," "," "," ","X"," ","X","X"," ",583.317697645657,14.8522833123659,0.000412624223184936,821,5
"40"," "," "," "," ","X","X"," "," ","X","X"," ",583.35319334115,14.8877790078594,0.000405365633991711,534,4
"41"," ","X"," "," "," "," "," "," "," ","X"," ",583.466529040714,15.0011147074229,0.000383033177220501,29,2
"42"," ","X"," "," "," "," "," "," ","X"," "," ",583.636163834341,15.1707495010501,0.000351884928053203,28,2
"43","X"," "," "," ","X"," "," "," ","X","X"," ",583.64601718099,15.1806028476993,0.00035015556945519,329,4
"44"," ","X"," "," "," "," ","X"," ","X","X","X",583.997212112373,15.5317977790816,0.000293764984198901,896,5
"45"," ","X"," "," "," "," "," ","X","X","X","X",584.079548953214,15.6141346199231,0.000281916704664167,897,5
"46"," ","X"," "," "," ","X"," ","X","X","X"," ",584.14721895735,15.6818046240586,0.000272537617843475,889,5
"47","X","X"," "," "," "," ","X"," ","X","X"," ",584.274888721557,15.8094743882656,0.000255683862593657,639,5
"48","X","X"," "," "," "," "," ","X","X","X"," ",584.295854202869,15.8304398695781,0.000253017594287518,642,5
"49","X","X","X"," "," "," "," "," ","X","X"," ",584.34758560309,15.8821712697994,0.000246557030761255,587,5
"50"," "," "," "," "," ","X","X"," ","X","X"," ",584.497392682215,16.0319783489244,0.000228763744883931,550,4
"51"," "," ","X","X","X"," "," "," ","X","X"," ",584.533704855616,16.0682905223248,0.000224647768575758,910,5
"52"," ","X","X"," "," ","X"," "," ","X","X"," ",584.546374223872,16.0809598905807,0.000223229193777143,815,5
"53"," "," "," "," "," "," "," "," ","X","X","X",584.668970322303,16.2035559890118,0.000209956626567659,231,3
"54"," ","X","X"," "," "," "," "," ","X","X","X",584.890383248273,16.4249689149818,0.000187953483917824,827,5
"55"," "," "," "," "," ","X"," "," ","X","X"," ",585.113544953073,16.6481306197817,0.000168109180768543,219,3
"56"," "," "," "," "," "," "," ","X","X","X"," ",585.156446162101,16.69103182881,0.000164541538059848,228,3
"57","X"," "," "," "," "," "," "," ","X","X"," ",585.171226240785,16.7058119074939,0.000163330051600041,109,3
"58"," ","X"," ","X","X"," "," ","X","X","X"," ",585.371281332934,16.9058669996431,0.000147783071277885,1362,6
"59"," ","X"," "," "," ","X"," "," ","X","X","X",585.395739877877,16.9303255445859,0.000145986797778361,892,5
"60"," ","X"," ","X"," ","X","X"," ","X","X"," ",585.490283075411,17.0248687421198,0.000139246339704463,1369,6
"61","X","X"," "," "," "," "," "," ","X","X","X",585.50643780079,17.0410234674993,0.000138126126789028,645,5
"62","X","X"," "," "," ","X"," "," ","X","X"," ",585.613833435001,17.1484191017101,0.000130904678445161,633,5
"63"," ","X"," "," "," ","X","X","X","X","X"," ",585.806411037065,17.3409967037735,0.000118887850010277,1396,6
"64"," "," "," ","X"," "," ","X"," ","X","X"," ",585.983058301974,17.517643968683,0.000108837612673072,520,4
"65"," ","X","X","X","X"," "," "," ","X","X"," ",586.024581898185,17.5591675648936,0.000106601243982186,1288,6
"66"," ","X"," "," ","X"," ","X","X","X","X"," ",586.120969872772,17.6555555394814,0.000101585539168565,1391,6
"67"," "," "," ","X"," "," "," "," ","X","X","X",586.257320365517,17.7919060322259,9.48907232200195e-05,526,4
"68"," ","X"," "," ","X"," "," "," "," ","X"," ",586.311297398998,17.845883065707,9.23640127964165e-05,131,3
"69"," ","X"," ","X"," "," "," "," ","X"," "," ",586.440669752707,17.9752554194163,8.65784772456516e-05,124,3
"70"," "," "," ","X"," ","X"," "," ","X","X"," ",586.482464529003,18.0170501957119,8.478798664848e-05,514,4
"71"," ","X"," ","X","X","X"," "," ","X","X"," ",586.50108519055,18.0356708572585,8.40022458762333e-05,1353,6
"72","X"," "," ","X"," "," "," "," ","X","X"," ",586.805201110446,18.3397867771546,7.21527626720488e-05,314,4
"73"," "," "," ","X","X"," ","X"," ","X","X"," ",586.85743103406,18.3920167007689,7.02928870217476e-05,981,5
"74"," ","X"," ","X","X"," ","X"," ","X","X"," ",586.894880668963,18.4294663356717,6.89889119909617e-05,1359,6
"75"," ","X"," ","X"," "," "," "," "," ","X"," ",586.984783542502,18.5193692092112,6.59564291172452e-05,125,3
"76"," ","X","X","X"," "," "," ","X","X","X"," ",587.050540703061,18.5851263697703,6.38231373407849e-05,1307,6
"77"," ","X"," ","X","X"," "," "," ","X","X","X",587.109374298543,18.6439599652521,6.1973010832105e-05,1365,6
"78"," "," "," ","X"," "," "," ","X","X","X"," ",587.155274632081,18.6898602987903,6.05669166626288e-05,523,4
"79"," "," ","X"," ","X"," ","X"," ","X","X"," ",587.164416354567,18.699002021276,6.02907054331613e-05,946,5
"80"," "," "," ","X","X","X"," "," ","X","X"," ",587.23342854882,18.7680142155289,5.82457923774068e-05,975,5
"81"," ","X","X"," ","X"," "," ","X","X","X"," ",587.244570082785,18.7791557494943,5.79222207482177e-05,1327,6
"82"," "," "," ","X","X"," "," "," ","X","X","X",587.278652932442,18.8132385991512,5.69435066047883e-05,987,5
"83"," ","X","X"," "," ","X","X"," ","X","X"," ",587.407309521824,18.941895188533,5.33957614633554e-05,1334,6
"84"," "," "," ","X","X"," "," ","X","X","X"," ",587.611890764803,19.1464764315122,4.82039393987293e-05,984,5
"85","X","X"," ","X","X"," "," "," ","X","X"," ",587.631803951808,19.1663896185165,4.77263737775456e-05,1092,6
"86"," ","X"," "," ","X"," "," "," ","X"," "," ",587.757123339866,19.2917090065752,4.48276196924998e-05,130,3
"87"," ","X"," ","X"," "," ","X","X","X","X"," ",587.816524714694,19.3511103814031,4.35157861836402e-05,1376,6
"88"," ","X","X"," ","X"," ","X"," ","X","X"," ",587.845875219963,19.3804608866719,4.28818440356679e-05,1324,6
"89"," ","X","X","X"," ","X"," "," ","X","X"," ",587.863314975352,19.3979006420614,4.25095451597002e-05,1298,6
"90","X"," "," ","X","X"," "," "," ","X","X"," ",587.908493887052,19.443079553761,4.15600424172163e-05,714,5
"91"," "," ","X"," "," "," ","X"," ","X","X"," ",587.983737151047,19.5183228177555,4.00255321749966e-05,485,4
"92"," ","X"," ","X"," ","X"," ","X","X","X"," ",588.068928800243,19.6035144669524,3.83564127499605e-05,1372,6
"93"," ","X"," "," ","X","X"," ","X","X","X"," ",588.15270453981,19.6872902065195,3.67829293236994e-05,1387,6
"94"," ","X"," "," "," ","X","X"," ","X","X","X",588.155100518958,19.6896861856665,3.67388901423944e-05,1399,6
"95"," ","X"," "," ","X"," "," ","X","X","X","X",588.208124092345,19.7427097590542,3.57776745948772e-05,1395,6
"96"," ","X"," ","X"," "," "," ","X","X","X","X",588.36042190854,19.8950075752484,3.31543913226217e-05,1380,6
"97"," "," "," "," ","X"," ","X","X","X","X"," ",588.437442269687,19.9720279363961,3.19018817008619e-05,1013,5
"98","X","X"," "," ","X"," "," ","X","X","X"," ",588.483504125103,20.0180897918117,3.11755479448782e-05,1131,6
"99"," "," ","X"," ","X","X","X"," ","X","X"," ",588.508198910865,20.0427845775738,3.07929779376916e-05,1440,6
"100"," "," "," ","X","X","X","X"," ","X","X"," ",588.538628883237,20.0732145499462,3.03280094183573e-05,1461,6
"101"," ","X"," "," ","X"," ","X"," ","X","X","X",588.54205415435,20.0766398210585,3.02761130435535e-05,1394,6
"102","X","X"," "," "," ","X","X"," ","X","X"," ",588.581495712914,20.1160813796225,2.96848933183303e-05,1138,6
"103"," ","X","X","X"," "," ","X"," ","X","X"," ",588.591121146227,20.1257068129364,2.95423715712841e-05,1304,6
"104"," "," "," ","X"," ","X","X"," ","X","X"," ",588.66552464824,20.2001103149491,2.84635353386403e-05,991,5
"105"," ","X"," "," ","X","X","X","X","X","X"," ",588.705783878269,20.2403695449782,2.78963035624239e-05,1773,7
"106"," "," "," "," ","X"," "," "," "," ","X"," ",588.769736142822,20.3043218095312,2.70183984758555e-05,50,2
"107"," "," "," "," ","X"," ","X"," ","X","X","X",588.796100259304,20.3306859260132,2.66645775411609e-05,1016,5
"108","X","X"," ","X"," "," "," ","X","X","X"," ",588.804395571352,20.3389812380606,2.65542110847719e-05,1111,6
"109"," ","X","X"," ","X","X"," "," ","X","X"," ",588.814709126483,20.3492947931916,2.64176293881638e-05,1318,6
"110","X","X","X","X"," "," "," "," ","X","X"," ",588.823771794028,20.3583574607366,2.62981930991383e-05,1042,6
"111","X","X"," "," ","X"," ","X"," ","X","X"," ",588.891293701311,20.4258793680199,2.54251611388831e-05,1128,6
"112","X","X","X"," ","X"," "," "," ","X","X"," ",588.962157679806,20.4967433465147,2.45400699684713e-05,1057,6
"113"," ","X","X","X"," "," "," "," ","X","X","X",589.00267100393,20.5372566706392,2.40479710319597e-05,1310,6
"114"," "," ","X"," ","X"," "," ","X","X","X"," ",589.112189657105,20.6467753238137,2.27665260583805e-05,949,5
"115"," ","X"," ","X"," ","X"," "," ","X","X","X",589.176084259564,20.7106699262733,2.2050692352369e-05,1375,6
"116"," "," "," "," ","X","X","X","X","X","X"," ",589.325503059409,20.8600887261182,2.04633319808421e-05,1479,6
"117"," "," ","X"," ","X","X"," "," ","X","X"," ",589.327201409266,20.8617870759749,2.04459624083197e-05,940,5
"118","X"," "," "," ","X"," ","X"," ","X","X"," ",589.34270558054,20.8772912472486,2.02880763207156e-05,750,5
"119"," ","X","X"," ","X"," "," "," ","X","X","X",589.396362757146,20.9309484238552,1.97510124200783e-05,1330,6
"120"," ","X"," ","X"," "," ","X"," ","X","X","X",589.572006704034,21.1065923707429,1.80904247393427e-05,1379,6
"121"," ","X","X"," "," "," ","X","X","X","X"," ",589.699613653073,21.2341993197817,1.69722439998145e-05,1341,6
"122"," ","X"," "," ","X","X"," "," ","X","X","X",589.723136613602,21.2577222803106,1.67737946039538e-05,1390,6
"123","X","X"," ","X"," ","X"," "," ","X","X"," ",589.724597135281,21.2591828019899,1.67615498301058e-05,1102,6
"124","X"," ","X"," ","X"," "," "," ","X","X"," ",589.755963936538,21.2905496032473,1.6500722405726e-05,679,5
"125"," "," ","X"," ","X"," "," "," ","X","X","X",589.813909861501,21.3484955282102,1.60295068127445e-05,952,5
"126"," "," "," "," "," "," ","X"," ","X","X","X",589.945885823891,21.4804714906002,1.50058964186419e-05,560,4
"127"," ","X"," "," "," "," "," ","X","X"," "," ",589.979052744322,21.5136384110311,1.475909876788e-05,142,3
"128","X","X"," "," ","X","X"," "," ","X","X"," ",590.028007479373,21.562593146082,1.44022204224146e-05,1122,6
"129","X","X"," ","X"," "," ","X"," ","X","X"," ",590.076948641822,21.6115343085312,1.40540668508403e-05,1108,6
"130"," "," "," "," ","X","X","X"," ","X","X","X",590.084493803732,21.6190794704405,1.4001146631574e-05,1482,6
"131","X","X"," "," ","X"," "," "," ","X","X","X",590.104478090038,21.6390637567472,1.38619418056108e-05,1134,6
"132"," ","X"," ","X","X","X","X"," ","X","X"," ",590.119400924923,21.6539865916319,1.37588969795341e-05,1755,7
"133"," ","X"," "," "," "," ","X"," "," ","X"," ",590.160181336478,21.6947670031868,1.3481191100389e-05,140,3
"134","X","X"," ","X"," "," "," "," ","X","X","X",590.165694879667,21.7002805463758,1.34440777157705e-05,1114,6
"135"," "," "," "," "," "," ","X","X","X","X"," ",590.21890180038,21.7534874670893,1.30911343011846e-05,557,4
"136"," "," ","X","X"," ","X"," "," ","X","X"," ",590.320289751286,21.8548754179947,1.24440332965085e-05,920,5
"137","X"," "," "," "," "," ","X"," ","X","X"," ",590.430552520029,21.9651381867379,1.17765453401274e-05,345,4
"138"," ","X"," "," "," "," ","X"," ","X"," "," ",590.473971001865,22.0085566685735,1.15236405977193e-05,139,3
"139"," ","X"," "," "," "," ","X","X","X","X","X",590.499631984924,22.0342176516331,1.13767311005342e-05,1401,6
"140"," "," ","X"," "," ","X","X"," ","X","X"," ",590.632449927606,22.1670355943151,1.0645754419083e-05,956,5
"141"," "," ","X","X"," "," ","X"," ","X","X"," ",590.692499617216,22.2270852839246,1.03308681556626e-05,926,5
"142"," ","X","X"," ","X","X","X"," ","X","X"," ",590.75078348307,22.2853691497789,1.00341511411276e-05,1734,7
"143","X","X"," "," "," "," ","X","X","X","X"," ",590.77068122195,22.3052668886592,9.93481762888892e-06,1145,6
"144","X"," "," "," ","X","X","X"," ","X","X"," ",590.831444505228,22.3660301719365,9.63752061347136e-06,1258,6
"145"," "," ","X"," "," ","X"," "," ","X","X"," ",590.901479343354,22.436065010063,9.30588000253769e-06,479,4
"146"," "," ","X"," "," "," "," ","X","X","X"," ",590.908555171791,22.4431408385001,9.27301476883009e-06,488,4
"147","X"," ","X"," "," "," "," "," ","X","X"," ",590.950119331739,22.4847049984478,9.08229091780595e-06,293,4
"148"," ","X"," "," "," "," "," ","X"," ","X"," ",590.95205896423,22.4866446309394,9.07348703428945e-06,143,3
"149"," "," ","X"," "," "," "," "," ","X","X","X",591.083577433275,22.6181630999837,8.49601656080644e-06,491,4
"150"," "," ","X","X"," "," "," ","X","X","X"," ",591.148301771773,22.6828874384817,8.2254684093602e-06,929,5
"151"," ","X","X"," "," "," "," "," ","X"," "," ",591.229806316838,22.7643919835471,7.897000248345e-06,117,3
"152"," ","X","X"," "," "," "," "," "," ","X"," ",591.276420946763,22.811006613472,7.71507075602324e-06,118,3
