"","area","bordering_language_richness","L1_pop","bordering_language_richness_perkm","bordering_language_evenness","roughness","altitude_range","islands11km","small_family","isolate_or_mono","vehicularity","BIC","delta","reLL","weights","model_id","Nparam"
"1"," "," "," "," ","X"," "," "," ","X","X"," ",770.172118308071,0,1,0.282359497871003,209,3
"2"," ","X"," "," "," "," "," "," ","X","X"," ",770.852228597099,0.680110289027652,0.711731073616403,0.200964028565517,145,3
"3"," ","X"," ","X"," "," "," "," ","X","X"," ",772.173568950178,2.00145064210676,0.367612707213226,0.103798939419727,398,4
"4"," "," "," ","X","X"," "," "," ","X","X"," ",772.588546770849,2.41642846277819,0.298730266525524,0.0843493280550177,504,4
"5"," "," "," ","X"," "," "," "," ","X","X"," ",772.940865640463,2.7687473323922,0.250480635159946,0.0707255863701722,194,3
"6"," ","X"," "," ","X"," "," "," ","X","X"," ",772.941155533619,2.76903722554778,0.250444331480188,0.0707153356813847,413,4
"7"," "," "," "," "," "," "," "," ","X","X"," ",773.47622120107,3.30410289299869,0.191656332346378,0.0541159857651214,64,2
"8"," "," "," "," ","X"," ","X"," ","X","X"," ",775.645371634542,5.47325332647131,0.0647885322176165,0.0182936574247655,540,4
"9"," ","X"," ","X","X"," "," "," ","X","X"," ",776.089612425886,5.91749411781495,0.0518838839146728,0.0146499074097444,840,5
"10"," ","X"," "," "," "," ","X"," ","X","X"," ",777.242025099337,7.06990679126648,0.0291601159464687,0.00823363569650511,429,4
"11","X","X"," "," "," "," "," "," ","X","X"," ",777.77490260951,7.60278430143899,0.0223396500381874,0.00630781236739653,265,4
"12"," "," ","X"," ","X"," "," "," ","X","X"," ",777.844858666724,7.67274035865307,0.021571761030604,0.0060909916127946,469,4
"13"," "," "," "," ","X","X"," "," ","X","X"," ",778.636666563919,8.4645482558484,0.0145193341521893,0.00409967190063348,534,4
"14","X"," "," "," ","X"," "," "," ","X","X"," ",778.706483679544,8.53436537147263,0.0140212297711159,0.00395902739770624,329,4
"15"," "," "," "," ","X"," "," "," ","X","X","X",778.734055344069,8.56193703599797,0.0138292617093956,0.00390482339219162,546,4
"16"," "," "," "," ","X"," "," ","X","X","X"," ",778.834683976136,8.66256566806555,0.0131506665420736,0.0037132156014889,543,4
"17"," ","X","X"," "," "," "," "," ","X","X"," ",779.009918627521,8.83780031945048,0.0120474752993318,0.00340171907613263,377,4
"18"," "," "," "," "," "," ","X"," ","X","X"," ",779.01510288172,8.84298457364957,0.0120162871514121,0.00339291280634649,225,3
"19"," ","X"," "," ","X"," ","X"," ","X","X"," ",779.133595612013,8.96147730394182,0.0113250447977357,0.00319773396245527,876,5
"20"," ","X"," "," "," ","X"," "," ","X","X"," ",779.223695858586,9.05157755051505,0.010826171651378,0.00305687239134838,423,4
"21"," ","X"," "," "," "," "," ","X","X","X"," ",779.25354818876,9.08142988068869,0.0106657784317172,0.00301158384238303,432,4
"22"," ","X"," "," "," "," "," "," ","X","X","X",779.578091558274,9.40597325020292,0.00906815344306078,0.00256047925279985,435,4
"23"," "," ","X","X","X"," "," "," ","X","X"," ",779.861670590601,9.6895522825298,0.00786937888702686,0.00222199387109757,910,5
