"ID","(Intercept)","bordering_language_evenness","small_family","isolate_or_mono","weighted_sums","res","bordering_language_richness","bordering_language_richness_perkm","altitude_range","area","L1_pop","roughness","vehicularity","islands11km","BIC","delta","Nparam"
1,"-2.763*** (-2.949--2.598)","-0.226*** (-0.361--0.097)","0.902*** (0.571-1.22)","0.892*** (0.589-1.183)","5.859*** (4.739-7.018)","-0.673 (-1.944-0.605)",NA,NA,NA,NA,NA,NA,NA,NA,770.172118308071,0,3
2,"-2.797*** (-2.983--2.63)",NA,"0.918*** (0.59-1.232)","0.858*** (0.556-1.148)","6.435*** (5.403-7.498)","-1.172* (-2.356-0.028)","-0.278** (-0.453--0.112)",NA,NA,NA,NA,NA,NA,NA,770.852228597099,0.680110289027652,3
3,"-2.808*** (-2.998--2.638)",NA,"0.898*** (0.567-1.215)","0.819*** (0.515-1.112)","6.188*** (5.13-7.275)","-0.848 (-2.072-0.397)","-0.248** (-0.42--0.085)","-0.234** (-0.414--0.062)",NA,NA,NA,NA,NA,NA,772.173568950178,2.00145064210676,4
4,"-2.787*** (-2.977--2.617)","-0.2** (-0.337--0.069)","0.887*** (0.553-1.207)","0.855*** (0.55-1.149)","5.749*** (4.619-6.916)","-0.491 (-1.779-0.807)",NA,"-0.219* (-0.401--0.046)",NA,NA,NA,NA,NA,NA,772.588546770849,2.41642846277819,4
5,"-2.794*** (-2.98--2.628)",NA,"0.926*** (0.597-1.24)","0.867*** (0.566-1.156)","6.528*** (5.485-7.597)","-1.268* (-2.463--0.049)",NA,"-0.26** (-0.441--0.089)",NA,NA,NA,NA,NA,NA,772.940865640463,2.7687473323922,3
6,"-2.784*** (-2.974--2.614)","-0.174* (-0.313--0.041)","0.89*** (0.558-1.208)","0.855*** (0.55-1.148)","5.806*** (4.692-6.959)","-0.56 (-1.825-0.71)","-0.205* (-0.385--0.038)",NA,NA,NA,NA,NA,NA,NA,772.941155533619,2.76903722554778,4
7,"-2.773*** (-2.953--2.612)",NA,"0.949*** (0.625-1.26)","0.914*** (0.617-1.2)","6.818*** (5.804-7.862)","-1.655** (-2.805--0.486)",NA,NA,NA,NA,NA,NA,NA,NA,773.47622120107,3.30410289299869,2
8,"-2.77*** (-2.954--2.604)","-0.226*** (-0.362--0.097)","0.897*** (0.566-1.214)","0.889*** (0.586-1.18)","5.934*** (4.811-7.092)","-0.685 (-1.955-0.595)",NA,NA,"-0.081 (-0.173-0.006)",NA,NA,NA,NA,NA,775.645371634542,5.47325332647131,4
9,"-2.799*** (-2.993--2.626)","-0.151* (-0.293--0.016)","0.876*** (0.542-1.197)","0.822*** (0.515-1.117)","5.693*** (4.569-6.854)","-0.381 (-1.665-0.911)","-0.187* (-0.365--0.025)","-0.206* (-0.388--0.033)",NA,NA,NA,NA,NA,NA,776.089612425886,5.91749411781495,5
10,"-2.797*** (-2.982--2.631)",NA,"0.915*** (0.588-1.229)","0.858*** (0.555-1.148)","6.496*** (5.459-7.564)","-1.179* (-2.368-0.027)","-0.267** (-0.442--0.101)",NA,"-0.069 (-0.161-0.018)",NA,NA,NA,NA,NA,777.242025099337,7.06990679126648,4
