"ID","(Intercept)","bordering_language_richness","small_family","isolate_or_mono","weighted_sums","res","bordering_language_evenness","bordering_language_richness_perkm","altitude_range","islands11km","L1_pop","roughness","vehicularity","area","BIC","delta","Nparam"
1,"-2.902*** (-3.115--2.715)","-0.422*** (-0.645--0.211)","0.94*** (0.579-1.283)","0.873*** (0.538-1.192)","5.31*** (3.842-6.786)","0.498 (-1.228-2.304)",NA,NA,NA,NA,NA,NA,NA,NA,568.465414333291,0,3
2,"-2.889*** (-3.107--2.698)","-0.347** (-0.578--0.13)","0.914*** (0.548-1.262)","0.87*** (0.533-1.192)","4.697*** (3.155-6.27)","1.094 (-0.712-2.949)","-0.154* (-0.311--0.006)",NA,NA,NA,NA,NA,NA,NA,573.054953608075,4.58953927478422,4
3,"-2.904*** (-3.12--2.715)","-0.382*** (-0.605--0.173)","0.922*** (0.558-1.268)","0.841*** (0.504-1.163)","5.098*** (3.599-6.605)","0.775 (-0.998-2.631)",NA,"-0.187* (-0.382--0.004)",NA,NA,NA,NA,NA,NA,573.174472676635,4.70905834334371,4
4,"-2.828*** (-3.031--2.649)",NA,"0.921*** (0.558-1.266)","0.915*** (0.581-1.234)","4.829*** (3.274-6.411)","0.827 (-0.976-2.685)","-0.234** (-0.386--0.089)",NA,NA,NA,NA,NA,NA,NA,574.967522023672,6.5021076903812,3
5,"-2.901*** (-3.113--2.715)","-0.401*** (-0.626--0.189)","0.932*** (0.571-1.276)","0.87*** (0.534-1.189)","5.446*** (3.959-6.942)","0.41 (-1.328-2.229)",NA,NA,"-0.07 (-0.18-0.035)",NA,NA,NA,NA,NA,575.552556691227,7.08714235793605,4
6,"-2.901*** (-3.115--2.713)","-0.455*** (-0.684--0.237)","0.948*** (0.587-1.291)","0.86*** (0.525-1.18)","5.109*** (3.616-6.612)","0.702 (-1.051-2.534)",NA,NA,NA,"-0.091 (-0.261-0.043)",NA,NA,NA,NA,575.572997761253,7.10758342796146,4
7,"-2.96*** (-3.429--2.725)","-0.415*** (-0.64--0.199)","0.944*** (0.582-1.288)","0.873*** (0.538-1.194)","5.261*** (3.79-6.742)","0.549 (-1.183-2.359)",NA,NA,NA,NA,"-0.679 (-5.126--0.214)",NA,NA,NA,576.149034418194,7.68362008490294,4
8,"-2.837*** (-3.036--2.663)",NA,"0.971*** (0.615-1.308)","0.937*** (0.609-1.25)","6.013*** (4.582-7.441)","-0.406 (-2.047-1.326)",NA,NA,NA,NA,NA,NA,NA,NA,576.477943924723,8.0125295914321,2
9,"-2.905*** (-3.119--2.717)","-0.426*** (-0.65--0.214)","0.944*** (0.582-1.289)","0.879*** (0.544-1.199)","5.29*** (3.823-6.767)","0.524 (-1.205-2.333)",NA,NA,NA,NA,NA,"0.032 (-0.081-0.148)",NA,NA,576.926883000779,8.46146866748825,4
10,"-2.897*** (-3.111--2.709)","-0.423*** (-0.647--0.211)","0.94*** (0.578-1.283)","0.873*** (0.539-1.193)","5.277*** (3.806-6.758)","0.541 (-1.193-2.355)",NA,NA,NA,NA,NA,NA,"-0.278 (-1.44-0.607)",NA,576.941328425511,8.47591409222002,4
11,"-2.9*** (-3.114--2.713)","-0.424*** (-0.647--0.213)","0.936*** (0.573-1.281)","0.869*** (0.533-1.19)","5.308*** (3.841-6.783)","0.499 (-1.226-2.304)",NA,NA,NA,NA,NA,NA,NA,"0.026 (-0.226-0.133)",577.155565526389,8.69015119309813,4
12,"-2.856*** (-3.06--2.677)",NA,"0.947*** (0.588-1.288)","0.892*** (0.561-1.209)","5.715*** (4.241-7.183)","-0.004 (-1.708-1.798)",NA,"-0.238* (-0.431--0.055)",NA,NA,NA,NA,NA,NA,578.571736454819,10.1063221215279,3
13,"-2.895*** (-3.115--2.702)","-0.321** (-0.552--0.108)","0.902*** (0.534-1.251)","0.843*** (0.504-1.167)","4.61*** (3.051-6.199)","1.236 (-0.596-3.121)","-0.135 (-0.294-0.016)","-0.162 (-0.359-0.019)",NA,NA,NA,NA,NA,NA,578.876160702654,10.4107463693632,5
14,"-2.848*** (-3.056--2.665)",NA,"0.907*** (0.541-1.255)","0.881*** (0.545-1.202)","4.745*** (3.172-6.344)","0.984 (-0.847-2.873)","-0.208** (-0.362--0.061)","-0.193* (-0.389--0.008)",NA,NA,NA,NA,NA,NA,579.54021180157,11.0747974682794,4
15,"-2.889*** (-3.108--2.697)","-0.379** (-0.615--0.157)","0.922*** (0.556-1.27)","0.855*** (0.516-1.178)","4.464*** (2.914-6.054)","1.324 (-0.496-3.181)","-0.162* (-0.319--0.014)",NA,NA,"-0.103 (-0.274-0.033)",NA,NA,NA,NA,579.73374237048,11.2683280371887,5
16,"-2.916*** (-3.127--2.729)","-0.385*** (-0.612--0.17)","0.942*** (0.575-1.292)","0.899*** (0.562-1.22)","5.597*** (4.092-7.117)","0.369 (-1.391-2.208)",NA,NA,"-0.189* (-0.351--0.035)",NA,NA,"0.179* (0.013-0.353)",NA,NA,579.834648813713,11.3692344804219,5
17,"-2.903*** (-3.12--2.713)","-0.417*** (-0.646--0.201)","0.931*** (0.566-1.277)","0.826*** (0.488-1.149)","4.887*** (3.369-6.418)","0.989 (-0.805-2.861)",NA,"-0.191* (-0.386--0.009)",NA,"-0.097 (-0.267-0.038)",NA,NA,NA,NA,580.068535916431,11.6031215831401,5
18,"-2.889*** (-3.106--2.699)","-0.325** (-0.558--0.109)","0.906*** (0.54-1.253)","0.866*** (0.528-1.188)","4.839*** (3.277-6.431)","0.998 (-0.818-2.866)","-0.154* (-0.311--0.006)",NA,"-0.07 (-0.18-0.035)",NA,NA,NA,NA,NA,580.145875373907,11.6804610406157,5
